document,year,geography,name,state_abv,state
E8-5188.pdf,2008,county,Stanislaus,CA,California
E8-5188.pdf,2008,county,Merced,CA,California
E8-5188.pdf,2008,county,Madera,CA,California
E8-5188.pdf,2008,county,Fresno,CA,California
E8-5188.pdf,2008,county,Tulare,CA,California
E8-5188.pdf,2008,county,Kings,CA,California
E8-5188.pdf,2008,county,San Joaquin,CA,California
E8-5188.pdf,2008,place,Bakersfield,CA,California
E8-5188.pdf,2008,county,San Joaquin,CA,California
2023-10563.pdf,2023,county,Macomb,MI,Michigan
2023-10563.pdf,2023,county,Monroe,MI,Michigan
2023-10563.pdf,2023,county,Oakland,MI,Michigan
2023-10563.pdf,2023,county,St. Clair,MI,Michigan
2023-10563.pdf,2023,county,Washtenaw,MI,Michigan
2023-10563.pdf,2023,county,Wayne,MI,Michigan
2022-22192.pdf,2022,county,Butte,CA,California
2022-22192.pdf,2022,county,Calaveras,CA,California
2022-22192.pdf,2022,county,Tuolumne,CA,California
2022-22192.pdf,2022,county,Ventura,CA,California
2020-18427.pdf,2020,county,Imperial,CA,California
2020-08123.pdf,2020,county,Walla Walla ,WA,Washington
2020-08123.pdf,2020,county,Benton,WA,Washington
2020-08123.pdf,2020,county,Franklin ,WA,Washington
2019-23829.pdf,2018,cbsa,Payson,AZ,Arizona
2019-23829.pdf,2018,cbsa,Phoenix-Mesa-Scottsdale,AZ,Arizona
2019-17796.pdf,2018,county,Anne Arundel,MD,Maryland
2019-17796.pdf,2018,county,Baltimore,MD,Maryland
2019-17796.pdf,2018,county,Carroll,MD,Maryland
2019-17796.pdf,2018,county,Howard,MD,Maryland
2019-17796.pdf,2018,county,Harford,MD,Maryland
2017-18768.pdf,2013,cbsa,Fairbanks North Star Borough,AK,Alaska
2016-21755.pdf,2016,place,Lamar,CO,Colorado
2016-13031.pdf,2016,place,Klamath Falls,OR,Oregon
2014-23365.pdf,2014,county,Ada,ID,Idaho
2014-23365.pdf,2014,place,Pinehurst,ID,Idaho
2014-05009.pdf,2014,place,Pagosa Springs,CO,Colorado
2014-02841.pdf,2014,place,Telluride,CO,Colorado
2012-31431.pdf,2013,place,Eagle River ,AK,Alaska
2012-25547.pdf,2012,cbsa,Sacramento,CA,California
"
2020-24443.pdf",2019,county,Salt Lake,UT,Utah
"
2020-24443.pdf",2019,county ,Davis,UT,Utah
"
2020-24443.pdf",2019,place,Provo,UT,Utah
"
2020-24443.pdf",2019,place,Logan,UT,Utah
