"","area","year","pop","state"
"1","Fresno County","2008",909630,"California"
"2","Kings County","2008",152027,"California"
"3","Madera County","2008",148359,"California"
"4","Merced County","2008",250538,"California"
"5","San Joaquin County","2008",671692,"California"
"6","Stanislaus County","2008",509032,"California"
"7","Tulare County","2008",429283,"California"
"8","Bakersfield city","2008",333036,"California"
"9","Sacramento-Roseville-Folsom, CA Metro Area","2012",2190266,"California"
"10","Fairbanks, AK Metro Area","2013",100933,"Alaska"
"11","Phoenix-Mesa-Chandler, AZ Metro Area","2018",4849209,"Arizona"
"12","Payson, AZ Micro Area","2018",53801,"Arizona"
"13","Telluride town, Colorado","2014",2363,"Colorado"
"14","Lamar city, Colorado","2016",7521,"Colorado"
"15","Pinehurst city, Idaho","2014",1566,"Idaho"
"16","Klamath Falls city, Oregon","2016",21115,"Oregon"
"17","Provo city, Utah","2019",116618,"Utah"
"18","Logan city, Utah","2019",51542,"Utah"
"19","Anne Arundel County, Maryland","2018",575523,"Maryland"
"20","Baltimore County, Maryland","2018",827859,"Maryland"
"21","Carroll County, Maryland","2018",168267,"Maryland"
"22","Harford County, Maryland","2018",253882,"Maryland"
"23","Howard County, Maryland","2018",322621,"Maryland"
"24","Davis County, Utah","2019",355481,"Utah"
"25","Salt Lake County, Utah","2019",1160437,"Utah"
"26","Ada County, Idaho","2014",425471,"Idaho"
"27","Imperial County, California","2020",179595,"California"
"28","Butte County, California","2021",206190,"California"
"29","Calaveras County, California","2021",46219,"California"
"30","Imperial County, California","2021",179215,"California"
"31","Tuolumne County, California","2021",55065,"California"
"32","Ventura County, California","2021",839358,"California"
"33","Livingston County, Michigan","2022",196161,"Michigan"
"34","Macomb County, Michigan","2022",874195,"Michigan"
"35","Monroe County, Michigan","2022",155609,"Michigan"
"36","Oakland County, Michigan","2022",1269431,"Michigan"
"37","St. Clair County, Michigan","2022",160151,"Michigan"
"38","Washtenaw County, Michigan","2022",366376,"Michigan"
"39","Wayne County, Michigan","2022",1757043,"Michigan"
"40","Benton County, Washington","2020",207413,"Washington"
"41","Franklin County, Washington","2020",97143,"Washington"
"42","Walla Walla County, Washington","2020",62619,"Washington"
