document,year,geography,name,state
E8-5188.pdf,2008,county,Stanislaus,CA
E8-5188.pdf,2008,county,Merced,CA
E8-5188.pdf,2008,county,Madera,CA
E8-5188.pdf,2008,county,Fresno,CA
E8-5188.pdf,2008,county,Tulare,CA
E8-5188.pdf,2008,county,Kings,CA
E8-5188.pdf,2008,county,San Joaquin,CA
E8-5188.pdf,2008,place,Bakersfield,CA
E8-5188.pdf,2008,county,San Joaquin,CA
2023-10563.pdf,2023,county,Macomb,MI
2023-10563.pdf,2023,county,Monroe,MI
2023-10563.pdf,2023,county,Oakland,MI
2023-10563.pdf,2023,county,St.Clair,MI
2023-10563.pdf,2023,county,Washtenaw,MI
2023-10563.pdf,2023,county,Wayne,MI
2022-22192.pdf,2022,county,Butte,CA
2022-22192.pdf,2022,county,Calaveras,CA
2022-22192.pdf,2022,county,Tuolumne,CA
2022-22192.pdf,2022,county,Ventura,CA
2020-18427.pdf,2020,county,Imperial,CA
2020-08123.pdf,2020,county,Walla Walla ,WA
2020-08123.pdf,2020,county,Benton,WA
2020-08123.pdf,2020,county,Franklin ,WA
2019-23829.pdf,2018,cbsa,Payson,AZ
2019-23829.pdf,2018,cbsa,Phoenix-Mesa-Scottsdale,AZ
2019-17796.pdf,2018,county,Anne Arundel,MD
2019-17796.pdf,2018,county,Baltimore,MD
2019-17796.pdf,2018,county,Carroll,MD
2019-17796.pdf,2018,county,Howard,MD
2019-17796.pdf,2018,county,Harford,MD
2017-18768.pdf,2013,cbsa,Fairbanks North Star Borough,AK
2016-21755.pdf,2016,place,Lamar,CO
2016-13031.pdf,2016,place,Klamath Falls,OR
2014-23365.pdf,2014,county,Ada,ID
2014-23365.pdf,2014,place,Pinehurst,ID
2014-05009.pdf,2014,place,Pagosa Springs,CO
2014-02841.pdf,2014,place,Telluride,CO
2012-31431.pdf,2013,place,Eagle River ,AK
2012-25547.pdf,2012,cbsa,Sacramento,CA
23932359-epa-r08-oar-2019-0081-0008_content.pdf,2019,county,Salt Lake,UT
23932359-epa-r08-oar-2019-0081-0008_content.pdf,2019,county ,Davis,UT
23932359-epa-r08-oar-2019-0081-0008_content.pdf,2019,place,Provo,UT
23932359-epa-r08-oar-2019-0081-0008_content.pdf,2019,place,Logan,UT
