"","state_county_fips","days","state","county"
"1","04013",1,"Arizona","Maricopa County"
"2","06007",11,"California","Butte County"
"3","06009",8,"California","Calaveras County"
"4","06019",5,"California","Fresno County"
"5","06025",56,"California","Imperial County"
"6","06027",1,"California","Inyo County"
"7","06029",1,"California","Kern County"
"8","06031",4,"California","Kings County"
"9","06057",16,"California","Nevada County"
"10","06067",6,"California","Sacramento County"
"11","06077",4,"California","San Joaquin County"
"12","06079",10,"California","San Luis Obispo County"
"13","06099",5,"California","Stanislaus County"
"14","06101",11,"California","Sutter County"
"15","06103",9,"California","Tehama County"
"16","06109",14,"California","Tuolumne County"
"17","06111",5,"California","Ventura County"
"18","08059",2,"Colorado","Jefferson County"
"19","09001",2,"Connecticut","Fairfield County"
"20","09003",2,"Connecticut","Hartford County"
"21","09005",2,"Connecticut","Litchfield County"
"22","09015",2,"Connecticut","Windham County"
"23","16079",5,"Idaho","Shoshone County"
"24","22005",1,"Louisiana","Ascension Parish"
"25","24003",3,"Maryland","Anne Arundel County"
"26","24015",3,"Maryland","Cecil County"
"27","24025",4,"Maryland","Harford County"
"28","24029",2,"Maryland","Kent County"
"29","24033",2,"Maryland","Prince George's County"
"30","24510",3,"Maryland","Baltimore city"
"31","25013",2,"Massachusetts","Hampden County"
"32","25015",2,"Massachusetts","Hampshire County"
"33","26163",2,"Michigan","Wayne County"
"34","30029",5,"Montana","Flathead County"
"35","30053",1,"Montana","Lincoln County"
"36","30063",4,"Montana","Missoula County"
"37","30089",6,"Montana","Sanders County"
"38","32031",3,"Nevada","Washoe County"
"39","34001",1,"New Jersey","Atlantic County"
"40","34003",2,"New Jersey","Bergen County"
"41","34007",1,"New Jersey","Camden County"
"42","34011",1,"New Jersey","Cumberland County"
"43","34013",2,"New Jersey","Essex County"
"44","34015",1,"New Jersey","Gloucester County"
"45","34017",2,"New Jersey","Hudson County"
"46","34019",2,"New Jersey","Hunterdon County"
"47","34021",2,"New Jersey","Mercer County"
"48","34023",2,"New Jersey","Middlesex County"
"49","34025",1,"New Jersey","Monmouth County"
"50","34027",2,"New Jersey","Morris County"
"51","34029",1,"New Jersey","Ocean County"
"52","34031",2,"New Jersey","Passaic County"
"53","34041",2,"New Jersey","Warren County"
"54","35001",7,"New Mexico","Bernalillo County"
"55","35013",42,"New Mexico","Dona Ana County"
"56","35029",14,"New Mexico","Luna County"
"57","39017",1,"Ohio","Butler County"
"58","39035",2,"Ohio","Cuyahoga County"
"59","39055",2,"Ohio","Geauga County"
"60","39085",2,"Ohio","Lake County"
"61","39093",1,"Ohio","Lorain County"
"62","41035",2,"Oregon","Klamath County"
"63","41039",12,"Oregon","Lane County"
"64","42011",2,"Pennsylvania","Berks County"
"65","42075",2,"Pennsylvania","Lebanon County"
"66","42091",2,"Pennsylvania","Montgomery County"
"67","42095",2,"Pennsylvania","Northampton County"
"68","44003",2,"Rhode Island","Kent County"
"69","44007",2,"Rhode Island","Providence County"
"70","44009",2,"Rhode Island","Washington County"
"71","48141",2,"Texas","El Paso County"
"72","49005",4,"Utah","Cache County"
"73","49035",2,"Utah","Salt Lake County"
"74","53005",2,"Washington","Benton County"
