"","year","event_type","days"
"1",2012,"High Winds",5
"2",2013,"Wildfire",7
"3",2014,"High Winds",23
"4",2014,"Wildfire",7
"5",2015,"High Winds",34
"6",2015,"Wildfire",295
"7",2016,"High Winds",118
"8",2016,"Wildfire",402
"9",2017,"High Winds",70
"10",2017,"Wildfire",362
"11",2018,"High Winds",75
"12",2018,"Wildfire",341
"13",2019,"High Winds",13
"14",2019,"Wildfire",183
"15",2020,"High Winds",14
"16",2020,"Wildfire",671
"17",2021,"High Winds",6
"18",2021,"Wildfire",437
"19",2022,"High Winds",44
"20",2022,"Wildfire",108
